Type,Post Date,Description,Amount,Check or Slip #
DEBIT,05/03/2016,"BKCD PROCESSING  FEES       015208000866284 CCD ID: 9000477845",-25.20,
DEBIT,05/03/2016,"AUTHNET GATEWAY  BILLING    74858316        CCD ID: 1870568569",-10.00,
CREDIT,05/02/2016,"AMERICAN EXPRESS SETTLEMENT 3128961497      CCD ID: 1134992250",3850.00,
DEBIT,05/02/2016,"Moe's Cantina - River N Chicago IL           04/29",-26.00,
DEBIT,05/02/2016,"Chase QuickPay Electronic Transfer 5297488446 to Matt Dewine",-600.00,
DEBIT,05/02/2016,"Chase QuickPay Electronic Transfer 5332151990 to Eric",-2100.00,
DEBIT,05/02/2016,"Chase QuickPay Electronic Transfer 5328618194 to Josh",-1062.50,
DEBIT,05/02/2016,"INFUSIONSOFT 480-8070644 AZ                  04/30",-299.00,
DEBIT,05/02/2016,"RUBY RECEPTIONISTS IN 866-611-7829 OR        05/01",-259.00,
DEBIT,04/29/2016,"Chase QuickPay Electronic Transfer 5331147193 to Amanda",-480.00,
DEBIT,04/29/2016,"Chase QuickPay Electronic Transfer 5328674466 to Nicole",-660.00,
DEBIT,04/29/2016,"DATAVALIDATION.COM Q3 404-452-5202 GA        04/28",-5.83,
CREDIT,04/27/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2816.95,
DEBIT,04/27/2016,"UPWORK**BAL-24APR 650-8534100 CA             04/25",-116.17,
DEBIT,04/26/2016,"32689 - 360 HUBBARD-UBI CHICAGO IL           04/25",-5.00,
DEBIT,04/26/2016,"ADOBE *PS CREATIVE CL 800-833-6687 CA        04/25",-21.24,
DEBIT,04/26/2016,"DNH*GODADDY.COM 480-5058855 AZ               04/25",-15.17,
DEBIT,04/26/2016,"DATAVALIDATION.COM ZT 404-452-5202 GA        04/25",-7.62,
DEBIT,04/25/2016,"LAZ PARKING 600411 GPN CHICAGO IL            04/22",-30.00,
DEBIT,04/25/2016,"WUFOO.COM/CHARGE 813-4213676 CA              04/22",-14.95,
DEBIT,04/25/2016,"LASTPASS.COM 703-712-8315 VA                 04/22",-9.95,
DEBIT,04/25/2016,"DTELEPATHY FILAMENTAP 619-225-6220 CA        04/24",-9.00,
DEBIT,04/22/2016,"COGI, INC. 805-6244374 CA                    04/21",-9.90,
DEBIT,04/22/2016,"VERIZON WIRELESS PAYMENTS                   PPD ID: 7223344794",-214.40,
DEBIT,04/21/2016,"Online Transfer to  CHK ...0806 transaction#: 5312367021 04/21",-1950.00,
DEBIT,04/21/2016,"Chase QuickPay Electronic Transfer 5331142947 to Paul",-528.00,
DEBIT,04/21/2016,"WPENGINE.COM 877-973-6446 TX                 04/20",-249.00,
CREDIT,04/20/2016,"IRS  TREAS 310     TAX REF                  PPD ID: 9111736946",6889.00,
DEBIT,04/20/2016,"UPWORK**BAL-17APR 650-8534100 CA             04/18",-113.33,
DEBIT,04/20/2016,"FS *ahrefs.com 877-3278914 CA                04/19",-179.00,
DEBIT,04/20/2016,"ZAPIER.COM/CHARGE 877-381-8743 CA            04/19",-15.00,
DEBIT,04/20/2016,"DATAVALIDATION.COM 22 404-452-5202 GA        04/19",-5.60,
DEBIT,04/19/2016,"AMERICAN EXPRESS AXP DISCNT 3128961497      CCD ID: 1134992250",-78.04,
DEBIT,04/19/2016,"TENDINC.COM 800-276-5335 IL                  04/18",-50.00,
DEBIT,04/19/2016,"Spotify USA New York NY                      04/19",-9.99,
DEBIT,04/18/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        04/15",-13.07,
DEBIT,04/18/2016,"TCKTWEB*POLICAWITHMOT 800-965-4827 CA        04/16",-54.37,
DEBIT,04/18/2016,"Chase QuickPay Electronic Transfer 5261066160 to Budget Nerd",-650.00,
DEBIT,04/18/2016,"Chase QuickPay Electronic Transfer 5301268699 to Eric",-2100.00,
DEBIT,04/18/2016,"Chase QuickPay Electronic Transfer 5331147172 to Amanda",-480.00,
DEBIT,04/18/2016,"THALIA HALL CHICAGO IL                       04/16",-245.00,
DEBIT,04/18/2016,"THALIA HALL CHICAGO IL                       04/16",-22.26,
DEBIT,04/18/2016,"Online Transfer to  SAV ...5998 transaction#: 5269288577",-3500.00,
CREDIT,04/15/2016,"ATM CHECK DEPOSIT 04/15 500 N KINGSBURY ST CHICAGO IL",3000.00,
DEBIT,04/15/2016,"WPCHRG.COM 8772733049 CA                     04/14",-5.00,
DEBIT,04/15/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        04/15",-29.80,
DEBIT,04/15/2016,"Chase QuickPay Electronic Transfer 5289738726 to Nicole",-660.00,
DEBIT,04/15/2016,"Chase QuickPay Electronic Transfer 5297312160 to Josh",-1062.50,
DEBIT,04/15/2016,"ATM WITHDRAWAL                       007081  04/15500 N KIN",-80.00,
DEBIT,04/15/2016,"Dropbox*9RQ5TP5PQ5HL db.tt/cchelp CA         04/14",-99.00,
DEBIT,04/14/2016,"BUZZSTREAM 512-6328401 TX                    04/12",-99.00,
DEBIT,04/14/2016,"BERNIES LUNCH AND SUPP CHICAGO IL            04/12",-45.49,
DEBIT,04/14/2016,"ATM WITHDRAWAL                       006927  04/14500 N KIN",-100.00,
DEBIT,04/14/2016,"123RF LLC 312-929-2581 IL                    04/13",-69.00,
DEBIT,04/14/2016,"DreamHost  dh-fee.com 877-8294070 CA         04/13",-23.90,
DEBIT,04/13/2016,"EAST BANK CLUB-EFT 000-0000000 IL            04/10",-201.48,
DEBIT,04/13/2016,"UPWORK**BAL-10APR 650-8534100 CA             04/11",-170.00,
DEBIT,04/13/2016,"THE BOOK TABLE OAK PARK IL                   04/12",-82.50,
CREDIT,04/12/2016,"ATM CHECK DEPOSIT 04/12 2 N LA SALLE ST CHICAGO IL",2000.00,
CREDIT,04/12/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2864.70,
DEBIT,04/12/2016,"Chase QuickPay Electronic Transfer 5321223700 to Josh",-43.00,
DEBIT,04/12/2016,"BITESIZE PR 312-5505716 IL                   04/10",-89.00,
DEBIT,04/12/2016,"GOTOCITRIX.COM 855-837-1750 CA               04/12",-39.20,
DEBIT,04/12/2016,"DATAVALIDATION.COM VZ 404-452-5202 GA        04/11",-5.16,
DEBIT,04/12/2016,"IL DEPT OF REVEN EDI PYMNTS 16IEF000198881  WEB ID: 5555566257",-2.00,
DEBIT,04/11/2016,"71074 - EAST BANK CLUB CHICAGO IL            04/07",-5.75,
DEBIT,04/11/2016,"71074 - EAST BANK CLUB CHICAGO IL            04/08",-5.75,
DEBIT,04/11/2016,"Beyond Hosting, LLC 513-299-7108 OH          04/09",-72.47,
DEBIT,04/11/2016,"CLEOS CHICAGO IL                             04/10",-39.85,
DEBIT,04/11/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        04/10",-11.60,
DEBIT,04/11/2016,"BUFFER 415-539-0176 CA                       04/09",-10.00,
CREDIT,04/08/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2625.97,
DEBIT,04/08/2016,"GRIND LLC BENJAMIN@GRIN NY                   04/07",-375.00,
DEBIT,04/08/2016,"ADY*Spotify 2601277870 646-8375380 NY        04/07",-9.99,
CREDIT,04/07/2016,"ATM CHECK DEPOSIT 04/07 1225 S ASHLAND AVE CHICAGO IL",2000.00,
DEBIT,04/07/2016,"BUZZSTREAM 512-6328401 TX                    04/05",-29.00,
DEBIT,04/07/2016,"Online Transfer to  CHK ...0806 transaction#: 5280284166 04/07",-1950.00,
DEBIT,04/07/2016,"ATM WITHDRAWAL                       000874  04/071225 S AS",-120.00,
DEBIT,04/07/2016,"ATT*BILL PAYMENT 800-288-2020 TX             04/06",-256.79,
DEBIT,04/07/2016,"MDDHOSTING.COM 866-758-4678 IN               04/06",-19.95,
CREDIT,04/06/2016,"AMERICAN EXPRESS SETTLEMENT 3128961497      CCD ID: 1134992250",2695.00,
DEBIT,04/06/2016,"UPWORK**BAL-03APR 650-8534100 CA             04/04",-164.33,
DEBIT,04/06/2016,"SEMRUSH.COM 855-814-4510 PA                  04/04",-69.95,
DEBIT,04/06/2016,"Beyond Hosting, LLC 513-299-7108 OH          04/04",-15.00,
DEBIT,04/06/2016,"GOOGLE *Google Stora g.co/payhelp# CA        04/05",-2.17,
DEBIT,04/06/2016,"GOOGLE*SVCS      APPS_EPICP 6543095         CCD ID: 0000854521",-75.00,
DEBIT,04/06/2016,"TOOFR.COM 415-993-8663 CA                    04/05",-20.00,
DEBIT,04/06/2016,"CUE SOCIAL LLC 330-552-8283 OH               04/05",-9.00,
CREDIT,04/05/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",974.80,
DEBIT,04/05/2016,"DATAVALIDATION.COM AJ4 SYNAPP.IO GA          04/04",-37.67,
DEBIT,04/05/2016,"Chase QuickPay Electronic Transfer 5230267951 to Matt Dewine",-600.00,
DEBIT,04/04/2016,"TRUMAKER, INC. ARCHERANDREED CA              04/01",-147.81,
DEBIT,04/04/2016,"GOOGLE *SVCSAPPS_EPI CC@GOOGLE.COM CA        04/02",-10.00,
DEBIT,04/04/2016,"Beyond Hosting, LLC 513-299-7108 OH          04/01",-64.99,
DEBIT,04/04/2016,"Chase QuickPay Electronic Transfer 5263897020 to Eric",-2100.00,
DEBIT,04/04/2016,"RUBY RECEPTIONISTS IN 866-611-7829 OR        04/01",-259.00,
DEBIT,04/04/2016,"BKCD PROCESSING  BKCD M DSC 271503371566    CCD ID: 9000477845",-193.12,
DEBIT,04/04/2016,"AUTHNET GATEWAY  BILLING    48145639        CCD ID: 1870568569",-10.00,
CREDIT,04/01/2016,"FEDWIRE CREDIT VIA: WELLS FARGO BANK, N.A./026005092 B/O: MIMETAS B.V. 2333CH LEIDEN REF: CHASE NYC/CTR/BNF=ACTUALIZE INDUSTRIES LLC DBA EPIC OAK PARK, IL 60304 2211/AC-000000002180 RFB=MPBZ216490 26217B OBI=INVOICE 3/15/2016 IMAD: 0401B6B7001C003760 TRN: 0917109092FF",5200.00,
DEBIT,04/01/2016,"Chase QuickPay Electronic Transfer 5261034731 to Joe Dyton",-625.00,
DEBIT,04/01/2016,"Chase QuickPay Electronic Transfer 5261037649 to Josh",-1062.50,
DEBIT,04/01/2016,"Payment to Chase card ending in 4107 04/01",-371.33,
DEBIT,04/01/2016,"Payment to Chase card ending in 0832 04/01",-775.68,
DEBIT,04/01/2016,"INFUSIONSOFT 480-8070644 AZ                  03/30",-299.00,
DEBIT,04/01/2016,"DOMESTIC INCOMING WIRE FEE",-15.00,
DEBIT,03/31/2016,"INSTAPAGE 877-887-7815 CA                    03/30",-79.00,
DEBIT,03/31/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/30",-4.95,
DEBIT,03/30/2016,"UPWORK**BAL-27MAR 650-8534100 CA             03/28",-138.83,
DEBIT,03/30/2016,"Online Transfer to CHK ...0806 transaction#: 5292872675 03/30",-500.00,
CREDIT,03/29/2016,"ATM CHECK DEPOSIT 03/29 2 N LA SALLE ST CHICAGO IL",3000.00,
CREDIT,03/29/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2816.95,
DEBIT,03/29/2016,"Chase QuickPay Electronic Transfer 5261055224 to Nicole",-660.00,
DEBIT,03/28/2016,"AVENUE N GUITARS CHICAGO IL                  03/25",-38.58,
DEBIT,03/28/2016,"ADOBE *PS CREATIVE CL 800-833-6687 CA        03/25",-21.24,
CREDIT,03/25/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",4679.01,
DEBIT,03/25/2016,"GRAMMARLY 888-318-614 888-318-6146 CA        03/24",-59.95,
DEBIT,03/25/2016,"CHASE            AUTOPAYBUS                 PPD ID: 4760039224",-25.00,
DEBIT,03/25/2016,"DTELEPATHY FILAMENTAP 619-225-6220 CA        03/24",-9.00,
DEBIT,03/24/2016,"MAJESTICSEO.COM BIRMINGHAM                   03/22",-49.99,
DEBIT,03/24/2016,"Online Transfer to  CHK ...0806 transaction#: 5251182441 03/24",-1700.00,
DEBIT,03/23/2016,"UPWORK**BAL-20MAR 650-8534100 CA             03/21",-96.33,
DEBIT,03/23/2016,"VERIZON WIRELESS PAYMENTS                   PPD ID: 7223344794",-214.40,
DEBIT,03/23/2016,"DESKPASS - PART TIME DESKTIMEAPP.C IL        03/22",-99.00,
DEBIT,03/23/2016,"WUFOO.COM/CHARGE 813-4213676 CA              03/22",-14.95,
DEBIT,03/23/2016,"LASTPASS.COM 703-712-8315 VA                 03/22",-9.95,
CREDIT,03/22/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2864.70,
DEBIT,03/21/2016,"EAST BANK CLUB- F & B CHICAGO IL             03/17",-17.77,
DEBIT,03/21/2016,"WPENGINE.COM 877-973-6446 TX                 03/20",-249.00,
DEBIT,03/21/2016,"FS *ahrefs.com 877-3278914 CA                03/19",-179.00,
DEBIT,03/21/2016,"AMERICAN EXPRESS AXP DISCNT 3128961497      CCD ID: 1134992250",-78.04,
DEBIT,03/21/2016,"TENDINC.COM 800-276-5335 IL                  03/18",-50.00,
DEBIT,03/21/2016,"ZAPIER.COM/CHARGE 877-381-8743 CA            03/19",-15.00,
DEBIT,03/21/2016,"ADY*Spotify 2443041160 646-8375380 NY        03/19",-9.99,
DEBIT,03/18/2016,"Online Transfer to  SAV ...5998 transaction#: 5203991041",-3500.00,
DEBIT,03/17/2016,"SPUTNIK AUSTIN 512-736-9515 TX               03/13",-37.00,
CHECK,03/17/2016,"CHECK 206 ",-400.00,206
CREDIT,03/16/2016,"ATM CHECK DEPOSIT 03/16 2 N LA SALLE ST CHICAGO IL",5000.00,
DEBIT,03/16/2016,"UPWORK**BAL-13MAR 650-8534100 CA             03/14",-170.00,
DEBIT,03/16/2016,"SOUTHWESTAIR*INFLIGHT DALLAS TX              03/15",-5.00,
DEBIT,03/16/2016,"SOUTHWESTAIR*INFLIGHT DALLAS TX              03/15",-5.00,
DEBIT,03/16/2016,"Chase QuickPay Electronic Transfer 5197588460 to Budget Nerd",-650.00,
DEBIT,03/16/2016,"Chase QuickPay Electronic Transfer 5232822909 to Eric",-2100.00,
DEBIT,03/16/2016,"ATM WITHDRAWAL                       001565  03/162 N LA SA",-80.00,
CHECK,03/16/2016,"CHECK 207 ",-889.00,207
DEBIT,03/15/2016,"WPCHRG.COM 8772733049 CA                     03/14",-5.00,
DEBIT,03/15/2016,"POLVO'S MEXICANO RESTA 512-4415446 TX        03/13",-110.08,
DEBIT,03/15/2016,"CHICAGO YELLOW CAB CHICAGO IL                03/13",-33.13,
DEBIT,03/15/2016,"Chase QuickPay Electronic Transfer 5230031436 to Joe Dyton",-625.00,
DEBIT,03/15/2016,"Chase QuickPay Electronic Transfer 5230250948 to Nicole",-660.00,
DEBIT,03/15/2016,"Chase QuickPay Electronic Transfer 5230058439 to Josh",-1062.50,
DEBIT,03/14/2016,"EAST BANK CLUB-EFT 000-0000000 IL            03/10",-190.00,
DEBIT,03/14/2016,"LA QUINTA INNS  0186 AUSTIN TX               03/13",-672.75,
DEBIT,03/14/2016,"GUS'S FRIED CHICKE AUSTIN TX                 03/11",-25.89,
DEBIT,03/14/2016,"BUZZSTREAM 512-6328401 TX                    03/12",-99.00,
DEBIT,03/14/2016,"ALAMO S LAMAR REST AUSTIN TX                 03/12",-19.07,
DEBIT,03/14/2016,"BANGERS SAUSAGE HOUSE & AUSTIN TX            03/12",-52.00,
DEBIT,03/14/2016,"SQ *BALE CREEK ALLEN GA Austin TX            03/12",-2000.00,
DEBIT,03/14/2016,"LICHAS CANTINA AUSTIN TX                     03/13",-100.98,
DEBIT,03/14/2016,"AUSTIN AIRPORT-F&B AUSTIN TX                 03/13",-58.97,
DEBIT,03/14/2016,"AUSTIN AIRPORT-RETAIL AUSTIN TX              03/13",-32.46,
DEBIT,03/14/2016,"DreamHost  dh-fee.com 877-8294070 CA         03/13",-115.50,
DEBIT,03/14/2016,"BITESIZE PR 312-5505716 IL                   03/10",-89.00,
DEBIT,03/14/2016,"123RF LLC 3129292581 IL                      03/13",-69.00,
DEBIT,03/14/2016,"GOTOCITRIX.COM 855-837-1750 CA               03/12",-39.20,
DEBIT,03/11/2016,"Beyond Hosting, LLC 513-299-7108 OH          03/09",-72.47,
DEBIT,03/11/2016,"HOPDODDY SOCO AUSTIN TX                      03/10",-62.94,
DEBIT,03/11/2016,"LICHAS CANTINA AUSTIN TX                     03/11",-38.00,
DEBIT,03/11/2016,"WHOLEFDS LMR 101 525 N Austin TX             03/11 Purchase $5.40 Cash Back $75.00",-80.40,
DEBIT,03/11/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/10",-20.19,
DEBIT,03/11/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/10",-11.36,
DEBIT,03/10/2016,"Online Transfer to  CHK ...0806 transaction#: 5218135788 03/10",-1700.00,
DEBIT,03/10/2016,"BUFFER 415-539-0176 CA                       03/09",-10.00,
DEBIT,03/09/2016,"UPWORK**BAL-06MAR 650-8534100 CA             03/07",-59.50,
DEBIT,03/09/2016,"EAST BANK CLUB- F & B CHICAGO IL             03/07",-30.09,
DEBIT,03/09/2016,"OUTREACH WWW.OUTREACH. WA                    03/08",-270.00,
DEBIT,03/09/2016,"TECALITLAN RESTAURANT I CHICAGO IL           03/08",-67.68,
CREDIT,03/08/2016,"ATM CHECK DEPOSIT 03/08 2 N LA SALLE ST CHICAGO IL",2000.00,
CREDIT,03/08/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2625.97,
DEBIT,03/08/2016,"GRIND LLC BENJAMIN@GRIN NY                   03/07",-375.00,
DEBIT,03/08/2016,"ATT*BILL PAYMENT 800-288-2020 TX             03/07",-256.79,
DEBIT,03/08/2016,"ADY*Spotify 2354025750 646-8375380 NY        03/07",-9.99,
CREDIT,03/07/2016,"AMERICAN EXPRESS SETTLEMENT 3128961497      CCD ID: 1134992250",2695.00,
DEBIT,03/07/2016,"EAST BANK CLUB- F & B CHICAGO IL             03/04",-25.63,
DEBIT,03/07/2016,"BUZZSTREAM 512-6328401 TX                    03/05",-29.00,
DEBIT,03/07/2016,"SEMRUSH.COM 8558144510 PA                    03/04",-69.95,
DEBIT,03/07/2016,"Beyond Hosting, LLC 513-299-7108 OH          03/04",-15.00,
DEBIT,03/07/2016,"GOOGLE *Google Stora g.co/payhelp# CA        03/05",-2.17,
DEBIT,03/07/2016,"Online Transfer to CHK ...0806 transaction#: 5243827565 03/07",-100.00,
DEBIT,03/07/2016,"GOOGLE*SVCS      APPS_EPICP 0483241         CCD ID: 0000854521",-75.00,
DEBIT,03/07/2016,"TOOFR.COM 415-993-8663 CA                    03/05",-20.00,
DEBIT,03/07/2016,"CUE SOCIAL LLC 330-552-8283 OH               03/05",-9.00,
DEBIT,03/04/2016,"Sweetwater Tavern and G Chicago IL           03/02",-43.60,
CREDIT,03/03/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2924.40,
DEBIT,03/03/2016,"Beyond Hosting, LLC 513-299-7108 OH          03/01",-64.99,
DEBIT,03/03/2016,"Chase QuickPay Electronic Transfer 5173364689 to Matt Dewine",-600.00,
DEBIT,03/03/2016,"INFUSIONSOFT 480-8070644 AZ                  03/01",-299.00,
DEBIT,03/03/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/02",-14.95,
DEBIT,03/03/2016,"AUTHNET GATEWAY  BILLING    47937981        CCD ID: 1870568569",-10.00,
DEBIT,03/02/2016,"GOOGLE *SVCSAPPS_EPI CC@GOOGLE.COM CA        03/01",-4.82,
DEBIT,03/02/2016,"Chase QuickPay Electronic Transfer 5202277834 to Eric",-2100.00,
DEBIT,03/02/2016,"UPWORK**BAL-28FEB 650-8534100 CA             02/29",-11.33,
DEBIT,03/02/2016,"Payment to Chase card ending in 4107 03/02",-1154.39,
DEBIT,03/02/2016,"RUBY RECEPTIONISTS IN 866-611-7829 OR        03/01",-259.00,
DEBIT,03/02/2016,"BKCD PROCESSING  BKCD M DSC 271503371566    CCD ID: 9000477845",-75.54,
DEBIT,03/02/2016,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/01",-3.31,
CREDIT,03/01/2016,"ATM CHECK DEPOSIT 03/01 2 N LA SALLE ST CHICAGO IL",3000.00,
DEBIT,03/01/2016,"Chase QuickPay Electronic Transfer 5197559146 to Joe Dyton",-625.00,
DEBIT,03/01/2016,"Online Transfer to CHK ...0806 transaction#: 5229723445 03/01",-300.00,
DEBIT,03/01/2016,"Chase QuickPay Electronic Transfer 5199338183 to Nicole",-660.00,
DEBIT,03/01/2016,"Chase QuickPay Electronic Transfer 5197561691 to Josh",-1062.50,
DEBIT,03/01/2016,"INSTAPAGE 877-887-7815 CA                    02/29",-79.00,
CREDIT,02/29/2016,"BKCD PROCESSING  BKCD DEPST 271503371566    CCD ID: 9000477845",2816.95,
DEBIT,02/29/2016,"UNDERBELLY SAN DIEGO CA                      02/25",-43.64,
DEBIT,02/29/2016,"Online Transfer to CHK ...0806 transaction#: 5225927692 02/29",-400.00,
CHECK,02/29/2016,"CHECK 205 ",-889.00,205
DEBIT,02/26/2016,"EAST BANK CLUB- F & B CHICAGO IL             02/24",-31.65,
DEBIT,02/26/2016,"ADOBE *PS CREATIVE CL 800-833-6687 CA        02/25",-21.24,
DEBIT,02/25/2016,"EAST BANK CLUB - CLUB CHICAGO IL             02/23",-297.50,
DEBIT,02/25/2016,"Online Transfer to  CHK ...0806 transaction#: 5189483514 02/25",-1700.00,
DEBIT,02/25/2016,"CHASE            AUTOPAYBUS                 PPD ID: 4760039224",-25.00,
DEBIT,02/25/2016,"DTELEPATHY FILAMENTAP 619-225-6220 CA        02/24",-9.00,
DEBIT,02/24/2016,"MAC KELLYS CHICAGO IL                        02/23",-12.29,
DEBIT,02/24/2016,"VERIZON WIRELESS PAYMENTS                   PPD ID: 7223344794",-214.40,
DEBIT,02/23/2016,"MAJESTICSEO.COM BIRMINGHAM                   02/22",-49.99,
DEBIT,02/23/2016,"UPWORK**BAL-21FEB 650-8534100 CA             02/22",-19.83,
